Item name, prob, Mean Value (Train), Mean Value (Valid), 
AGE, 0.9902, 
BODY_HEIGHT, 0.0220, 
BODY_WEIGHT, 0.0157, 
心衰, 0.0054, 
呼吸系统, 0.0053, 
反搏, 0.0053, 
慢性肾病, 0.0053, 
糖尿病, 0.0052, 
SEX, 0.0052, 
高血压, 0.0052, 
